User,Adiminship date
cnwb,2005-12-04
eugene van der pijll,2005-06-08
nja247,2009-02-14
marianocecowski,2005-08-30
woody,NA
fredrik,2004-07-01
msgj,2009-02-24
courcelles,NA
edward,2005-01-08
lessheard vanu,2007-05-19
yanksox,2006-07-29
herostratus,2006-06-22
magog the ogre,2010-09-11
syrthiss,2005-12-14
jehochman,2007-10-11
feco,2005-07-07
utcursch,2005-02-21
spinningspark,2009-04-15
fishhead64,2007-04-19
maunus,2009-08-19
jafeluv,2009-09-08
essjay,2005-07-20
excirial,2010-04-16
henrik,2007-11-05
bd2412,2005-12-08
someguy1221,2009-03-25
lazulilasher,2008-10-12
nishkid64,2006-09-26
kim bruning,2004-08-04
hajor,2004-03-27
dmcdevit,2005-07-25
matthewedwards,2008-07-15
bearcat,2004-03-28
punkmorten,2006-01-10
youngamerican,2006-11-03
duncharris,2004-11-10
hawstom,2004-10-18
mintguy,2003-08-05
staxringold,2006-06-06
recurring dreams,2007-10-01
rhobite,2004-10-23
jmlk17,2007-06-07
kingturtle,2003-05-12
petros471,2006-04-18
kukini,2006-06-09
theproject,2006-06-30
gflores,2006-03-16
danny,2004-01-26
smartse,2011-02-01
jimfbleak,2003-05-14
flcelloguy,2005-08-08
the jps,2006-05-01
erikhaugen,2011-02-10
irongargoyle,2006-10-07
admiral norton,2009-03-07
shadow1,2007-02-12
briangotts,2005-08-13
anonemouse,2006-11-08
happyme22,2008-07-16
ronnotel,2007-09-26
gnangarra,2006-11-26
sirfozzie,2007-06-15
academic challenger,2004-09-10
adambiswanger1,2006-10-09
exploding boy,2004-04-11
elf-friend,2006-02-16
franamax,2009-11-10
thatcher131,2006-09-22
rn,2005-10-12
panyd,2010-11-28
leonard^bloom,2010-01-29
radiokirk,2006-05-06
rudget,2008-01-12
loui,2004-01-18
angr,2005-09-10
dppowell,2007-10-31
delldot,2007-02-18
fantasy,2003-07-27
larry v,2006-08-22
172,2003-05-12
kafziel,2007-02-07
lectonar,2005-09-12
skier dude,NA
nyttend,2007-11-08
morwen,2003-11-16
leebo,2007-06-19
banes,2006-02-01
ground zero,2005-08-20
tadakuni,2008-10-04
nawlinwiki,2006-08-26
k1bond007,2005-08-19
michaelas10,2007-03-24
daniel case,2007-07-05
pedanticallyspeaking,2004-12-16
garion96,2007-02-13
catfish jim and the soapdish,2011-05-04
qwghlm,2007-01-30
edjohnston,2008-02-20
the tom,2005-11-23
ryanpostlethwaite,2007-03-10
hiberniantears,2007-10-20
gamaliel,2004-11-21
rklawton,2007-03-13
hoary,2006-04-05
gurch,2006-06-12
viajero,2003-08-30
mike peel,2007-07-09
eliz81,2007-11-22
wjbscribe,2007-03-26
charles matthews,2004-02-17
paolo liberatore,2006-02-28
good olfactory,2008-07-28
desiegel,2005-10-02
doczilla,2008-02-15
vantucky,2008-04-23
cireland,2008-01-31
proteus,2004-09-24
zoney,2004-09-21
whouk,2006-05-15
radiant!,2005-06-07
acalamari,2007-07-04
the rambling man,2007-05-03
lupo,2004-08-02
ww,2004-04-20
valfontis,2011-03-25
dmacks,2007-11-19
amalthea,2009-02-21
accounting4taste,2007-11-02
seraphimblade,2007-03-13
rettetast,2007-05-13
horologium,2008-05-01
kww,2010-04-20
ryan postlethwaite,NA
petersymonds,2008-05-12
heimstern,2007-02-16
rossami,2004-09-01
fvasconcellos,2007-06-10
nickshanks,2005-10-16
tom harrison,2006-01-04
mushroom,2005-12-02
radicalbender,2004-03-03
mcb,2006-10-25
eskog,2006-02-24
cool hand luke,2004-10-25
durova,2006-10-17
dwindrim,2004-07-01
boing! said zebedee,2011-03-01
walton monarchist89,2007-04-20
victuallers,2008-01-21
keegan,NA
shadowhalo,2007-02-17
pschemp,2006-04-09
theresa knott,2003-06-17
newyorkbrad,2007-01-21
cryptoderk,2004-09-30
alex bakharev,2006-02-23
cool3,2009-06-27
dfrg.msc,2007-10-15
